pdb,weight,seq_len
3IVY_A,96.09192473876251,433
3DRA_B,124.24068898714302,390
2IBD_A,123.85191157184454,204
3HQ2_A,177.3554710179531,501
4HKG_A,69.90736727985113,88
4DND_A,10.68943403553247,130
2CJ4_A,66.10381305189588,150
2C2U_A,42.868076700500566,207
2ZCX_A,74.50840556608361,231
1RZ4_A,29.637889600982053,226
3AON_A,37.43177794334648,217
1FIP_A,31.040025773185175,98
3D19_A,93.48,283
3C2B_A,126.61492802983383,221
3WIW_A,93.3417125405357,402
1ZEE_A,54.22430451375103,403
2DC3_A,95.6436699421347,193
1TUK_A,8.963989067373968,67
3FBI_B,14.5,130
2I0M_A,64.4365432033718,216
1DXS_A,5.756717814866384,80
4WQD_A,48.36751595854391,252
2XTC_A,9.97666276868172,90
1KEA_A,62.89257507846216,221
1IZM_A,26.403272524442876,184
4CVR_A,42.60828088529271,159
2ES9_A,5.572225767141888,115
3C07_A,144.27507477038435,273
3BD1_A,88.54926764236957,79
1EK9_A,348.68647163318514,428
2C1V_A,114.0968886517069,338
2HIN_A,46.58282945463919,71
1C52_A,35.37,131
2FZF_A,94.74731869557048,175
3M73_A,48.69137295250566,314
3B81_A,56.48824125426459,203
3LK5_A,100.41981876103938,380
4ZC3_A,11.184207616098693,68
3KE2_A,77.01018114509276,117
5ZGM_A,64.88933964835826,110
1WY0_A,100.04276285669044,342
5CIV_A,51.51352055528723,184
1NOG_A,21.643500179037584,177
3CCY_A,59.17022224058314,203
3K7X_A,91.21557103915976,349
4TPN_A,84.92,406
3BRJ_A,63.892420520747216,175
1RR7_A,14.981134803478676,129
2WY4_A,38.470619958612566,140
1IIZ_A,21.230167215544956,120
3QZX_A,53.53821065370041,195
3CSX_A,5.75374660547369,81
4J42_A,54.12402424062719,93
1ZXJ_A,61.6816601592402,218
3LJN_A,102.6993515072028,364
1N1F_A,10.148871858487524,159
4NPD_A,1.6404877323527904,58
4YI8_A,51.28625644361264,201
3QM9_A,11.868761519215052,146
2CLY_A,64.7992091001117,214
4KMG_A,23.315848687105515,88
1AEP_A,1.53,161
3GXV_A,57.467895385162656,123
6G00_A,60.62908707872814,399
2NR9_A,56.49856192860133,196
3BHW_A,46.61146640044701,209
2AAO_A,62.68248160371444,166
2P5K_A,18.78414491000322,64
3DXR_B,19.708272374817636,95
2WG7_A,12.237646832622683,130
5XW2_A,85.4308931242089,419
6JV7_A,1.0889444430272832,77
2NNN_A,438.2574750075577,140
1PK1_B,74.42550167785232,89
1UZ3_A,11.24055158788927,102
2CIW_A,0.0,299
4GZC_A,19.037310734449864,180
3EFG_A,7.005369369276683,78
1Z0X_A,129.66600171209106,220
1MXR_A,94.67754749675342,375
2GEN_A,58.405184701360206,197
2IG3_A,56.73932586839572,127
2HDZ_A,0.66,91
2OI8_A,74.05835266868957,216
1FT5_A,20.348103105695134,211
1MZ4_A,41.714810319597525,137
3F31_A,77.53829698929427,149
1AK0_A,25.18399491740736,270
6O8L_A,31.669922639627657,111
3EGQ_A,52.460182996249635,170
1NG6_A,30.00423970041567,148
1MBA_A,8.259007204258875,147
3GGY_A,37.38553731056971,193
2IP6_A,6.393168228664096,112
2ZB9_A,121.59440776614689,214
1N97_A,94.30535509715236,389
1Z72_A,100.30360163025054,225
3FDQ_A,4.849742261192856,170
2ID3_A,119.49023139989308,225
3Q4O_A,46.1898982462616,196
4L4E_A,82.30572580325138,415
3U8I_A,25.683154011919957,124
2PMY_A,51.95777131478986,91
2F2B_A,60.60965269657961,246
3CEC_A,28.683624247992093,104
3HDL_A,46.997259494570535,304
2A11_A,36.70243588646399,242
3H3M_A,22.34307722763362,126
2P58_C,9.193214889253923,116
1LKI_A,10.029237259133918,180
2HJ3_A,25.974924446473377,125
3QU3_A,27.18830998793415,137
1MUN_A,65.17236761082107,225
1T33_A,162.50388056904978,224
2AIB_A,18.490603018830942,98
5YCE_A,41.73723038247746,154
2PQ7_A,44.87260300004893,220
1Y6X_A,13.920316088365237,93
3B57_A,49.40555434361606,209
2OER_A,123.79243272510642,214
3DBG_A,214.1266148800751,467
3ABA_A,73.52542893448498,403
2FEL_A,874.9224533637253,359
1K6K_A,37.02906966155105,143
2HKU_A,118.4,215
1DLW_A,30.137684051698464,116
2V0O_A,181.54853896410185,276
4ESM_A,22.42234599679525,302
3GVA_A,41.219311008312594,116
3IC7_A,81.4325536870851,126
1IYN_A,34.893588236236184,295
1HLB_A,3.14,158
2DI3_A,171.5638612878598,239
2UUQ_A,88.6281084081117,414
2ZRR_A,5.24938091587951,118
2BBR_A,14.881874881882322,195
2WA7_A,33.22085188552515,245
1UB9_A,31.575306807693888,100
1R7J_A,26.326564530906797,95
2PG4_A,57.03472626391749,95
4INW_A,36.801630398665765,140
2ZDI_C,84.48,151
2H09_A,35.195272409799585,155
3F0C_A,73.47934131441299,216
2XGU_A,9.98737703303525,149
3AY5_A,28.42738820222498,360
2V0P_A,46.665961899440155,234
1GAK_A,2.3729096063693618,141
3G46_A,84.52883058459994,146
1ZB1_A,109.6095743993197,392
2H8O_A,78.01771593683065,335
6E6O_A,0.6928203230275508,40
2G3B_A,118.02232500675454,208
4RWU_A,23.138228108478835,92
1N00_A,63.83805448163344,321
1H7C_A,10.754152686288217,108
2JBY_A,3.3988233257996807,145
3G7P_A,6.7116018952259076,156
2B2H_A,61.82252825629182,399
1D2T_A,37.47791349581777,231
1LFK_A,67.91538853603063,398
3IPI_A,60.819160632156056,295
3C2C_A,41.31874151036064,112
3LOM_A,161.96754952767546,313
3GW2_A,27.20884782566142,108
1URU_A,51.912594810893445,244
2QSB_A,4.565566777520618,89
3DXL_A,27.40380265583592,303
1M70_A,168.06141734496944,190
3KKD_A,210.1597354394985,237
3KQ5_A,24.149534156997728,393
6R09_A,104.66558651247314,364
3DDL_A,73.77863105262932,273
2Q8V_A,6.152722974423601,63
2QJX_A,10.72648591105214,127
2OEB_A,15.723002257838676,155
3GT5_A,115.72543194993916,402
2OD5_A,1.74,116
1UJ8_A,3.3452802573177634,77
2D8D_A,43.76785235763802,90
3DI5_A,30.513052944600613,168
6E3A_A,19.302849530574495,182
3KNW_A,115.81012909068016,212
3HIM_A,126.98268385886324,211
4ULV_A,48.36977568688943,128
3LSJ_A,138.69864815491172,220
2CCM_A,94.0835798638636,191
3DSS_A,160.3907129481006,331
3IQC_A,44.70928315238347,131
1COL_A,21.580268765703543,204
2Q00_A,18.109621751985877,129
4DUQ_A,66.76779762729934,98
5JSK_B,127.3842564840726,507
2ZXY_A,22.09380003530402,87
1SGM_A,113.0664654086259,191
4AL0_A,37.62156828203737,152
2CT9_A,97.72130729784574,208
3H6P_C,72.18897422737076,96
3LHR_A,19.49095944277757,93
1EM9_A,19.533110351400772,154
2NW8_A,51.56054208403942,306
2NTX_A,14.011081328719776,365
3DFG_A,42.38646482074201,162
3BZ6_A,8.982649943084724,183
2IAK_A,53.20271421647583,224
1A59_A,67.75881492470187,378
2V79_A,79.62705068002958,135
2RDP_A,52.85728426622011,150
3CTV_A,21.730853641769343,110
3D0W_A,18.763365902737178,104
2HH6_A,14.711342562798272,113
2VE3_A,220.2743135274742,444
