pdb,weight,seq_len
2D0O_A,69.85944746417624,610
2V62_A,207.0645211039303,345
1AOR_A,121.0,605
3BVX_A,100.0643952662484,1045
1GJW_A,124.46765362936668,637
2XDQ_B,156.8967893234275,511
3M4X_A,80.19272223836775,456
1Z47_A,173.79878020285415,355
4K0N_A,57.41351060508319,243
1PHK_A,101.2092955217059,298
1Z5H_A,316.6454168308772,780
3C7A_A,96.5735885219142,404
3EER_A,40.42245910382,148
1VPD_A,78.66612676368399,299
1YT3_A,74.6240577829965,375
2FIQ_A,218.38646546890217,420
1GRJ_A,39.6357023401882,158
2WAN_A,124.01735160855516,921
2PVQ_A,52.68347653676625,201
1IG0_A,141.9292105241201,319
3BH7_B,33.921785035578544,352
1KBL_A,69.76,873
2QTF_A,54.84544739538552,364
3DP7_A,167.80130303427325,363
1P2F_A,90.59124902549917,220
1T7V_A,52.085080397365225,278
2RIO_A,222.0442811693199,434
5J4U_A,57.388267093544485,231
1WU2_A,152.60242462031852,396
4JED_A,57.631255408849114,237
1Z2Z_A,104.13689451870552,446
3EA6_A,12.9,219
3GZK_A,71.2411257631433,537
2PY6_A,50.18942617723379,409
1GK9_B,93.06626671356275,557
3D2U_A,188.50838920323943,281
2EJ9_A,54.81825881948459,237
3GEE_A,59.16685558655285,476
1NY5_A,201.26656080929092,387
2P4W_A,136.0256968370315,202
3DJL_A,130.50052681886,541
3HC7_A,36.51826940039739,254
3B5I_A,118.6695647586187,374
1UVJ_A,34.50245208677203,664
1I5P_A,15.505270071817517,633
2QM8_A,182.1864352799077,337
3GWQ_A,146.92446086339743,426
2BHU_A,98.77044092237313,602
3D6J_A,58.374744539055584,225
1LLN_A,33.272691505196875,262
2J0W_A,93.97636830608002,449
3F8M_A,126.666639254383,248
1QAM_A,62.17515581001788,244
1SZN_A,55.47824168086079,417
3A8G_B,23.023396795433985,212
2HDO_A,59.09326865219084,209
3L0O_A,65.81793068761735,427
1M6Y_A,110.32501801495432,301
2YG5_A,120.49585055096296,453
1R6N_A,14.797675493130669,211
1AN8_A,12.36,208
1KAE_A,92.37422367738742,434
2HDW_A,195.8094530404495,367
2OEZ_A,44.21177671164099,247
2YB1_A,69.68135475146849,292
1G8P_A,72.77573359300476,350
5Y9Z_A,91.42369933447236,199
3CZG_A,135.58302106089832,644
6Q4G_A,102.53327654961583,306
3JZ0_A,107.72178981060424,287
2HMA_A,45.068023031857074,376
3CYM_A,66.27018560408595,440
2CYY_A,51.93075389400775,151
1B7Y_B,174.33576798809818,785
3DV8_A,96.13807414339024,220
1CPY_A,114.05914869049305,421
1STZ_A,125.72407287389316,338
5YVN_A,61.05059541069194,241
2CB9_A,37.3866072277226,244
2WW8_A,23.05168106668145,893
2CW5_A,76.01,255
3HXL_A,40.19749245910745,446
2FVK_A,475.6657185461235,559
2YXX_A,70.06887754203002,386
1HT6_A,56.70410214437752,405
1DD5_A,34.3740367137757,185
1IO2_A,39.5056147908117,213
2G3A_A,37.79904760704957,152
1MIW_A,131.8027693184024,404
2OGJ_A,298.823325729435,417
2E5Y_A,66.34020801896841,133
2Z5B_B,13.206460540205311,179
1Z2I_A,232.163735324878,358
1O75_A,16.02,415
1A5T_A,86.08894005620003,334
1TMO_A,184.16692645532203,829
3GOD_A,255.99,328
2HIV_A,89.01522454052453,621
2QXF_A,40.38755129987457,482
3M07_A,97.89623894716284,618
1UHV_A,515.7518783291051,500
2QQ9_A,42.452966916341666,226
2R3S_A,151.86991143738777,335
1RA0_A,97.97309630709852,430
1EVY_A,114.57948114736772,366
2NYV_A,56.39397130899721,222
2QYT_A,82.59060539795068,317
3A8T_A,15.016880501622168,339
1KS9_A,60.5531774558528,291
2R7D_A,144.35409796746333,469
2AH5_A,49.13866502053144,210
2FGY_A,28.26,542
2FI1_A,45.3450901421532,190
2DFU_A,276.5581920681432,264
1QV9_A,25.234975728143667,283
2W9M_A,106.64895686315924,578
3GWC_A,313.4605812538476,258
1QFJ_A,245.58204494628671,232
2P90_A,137.96497671510696,319
3IC8_A,310.9039864652752,310
1VBI_A,57.095709120738654,344
2DLA_A,12.72,222
2GU1_A,60.701380544432425,361
3E3X_A,19.80124996054542,332
3A74_A,362.70948374697895,493
3M0F_A,108.59741019011456,213
1ZPS_A,20.932692134553548,138
3A5V_A,51.91448641756942,397
3AR4_A,0.0,995
3VUR_A,51.675363569112896,204
2GBW_A,243.8556269598879,454
3MDU_A,116.56650462289755,453
2ZWA_A,94.78,695
3GNL_A,129.94491140479494,244
2ZXE_A,281.56327033190956,1028
1YB4_A,171.87530363609545,295
2HRA_A,37.100528298125354,209
1SAU_A,11.285424227737298,115
1LRZ_A,118.72657663724664,426
2YVY_A,56.71559926510519,278
3LS9_A,241.0709206851793,456
2PPT_A,92.24612295375888,155
1E5R_A,62.857123701295784,290
1BGV_A,64.28701657411084,449
1EU3_A,25.42594737664656,210
2XRW_A,113.06851949150126,371
2X3C_A,24.430603758401062,343
2YYK_A,102.10852755769226,481
2RCY_A,356.816229171264,262
3H7I_A,40.62994462216261,305
2F23_A,75.1923825929196,156
5HWA_A,17.374248185173368,259
3QVP_A,127.02525654372836,583
1G41_A,60.12471538394174,444
1WLF_A,26.747590545692148,179
