pdb,weight,seq_len
2X7K_A,33.85748957025609,166
1HPC_A,61.16451585682667,131
2X4J_A,1.09,137
2I02_A,71.55545541745927,148
1LF7_A,37.86234012841784,182
2IIA_A,3.980200999949626,131
1TUL_A,4.08,108
2Z17_A,32.71145976565399,104
1D3B_B,227.5861375391744,91
1NPS_A,19.598530557161677,88
2Q2I_A,38.59599072442629,116
1XVS_A,28.091279785727103,126
1N7Z_A,28.263899235597343,334
2DTC_A,64.76465548429945,126
3CJI_C,92.14517513141968,284
6H10_A,30.42449670906653,342
3D34_A,43.652010262987886,223
3M3I_A,165.9726447340043,225
2NLR_A,18.967688314604917,234
3AUP_A,372.90627160185977,403
2RJL_A,19.486587695130208,184
3CM1_A,38.91748193293086,139
1TDQ_A,91.48244585711512,283
1YOA_A,45.280118153556096,159
1FZV_A,21.72556098240043,132
3BO7_A,161.0634080106341,201
3HGB_A,24.925440818569285,155
2ICR_A,41.28900701155212,237
1PXZ_A,87.53184563346075,346
2QCK_A,42.675756583802944,167
3ZHN_A,19.25298937827578,159
1XHN_A,221.50568841454165,184
3LSO_A,12.416795077635776,489
6GKE_A,78.537077867718,324
4MNO_A,11.635076278220096,115
1CI0_A,113.27158822935256,228
1SE8_A,16.57303834545736,301
1BX7_A,2.746434051638597,55
2Q2G_A,65.84648737783968,180
1KNM_A,27.39542115025794,130
3DAS_A,82.5127802222177,347
1USC_A,104.33897833504024,178
1OSY_A,0.0,115
2UVF_A,199.71818945704473,608
4R3F_A,47.243725509320285,204
1R8N_A,17.35453831134669,185
3HMZ_A,54.7990218890812,199
2ZGC_A,58.347508944255715,240
3HE1_A,126.65890572715368,195
1Q1U_A,16.152485876793083,144
2GUJ_A,26.51490147068248,155
3KWE_A,42.74298538941799,213
3E5Z_A,146.11654526438818,296
1A1X_A,2.5964591273501685,108
1LYQ_A,45.006721720205306,104
2AG4_A,68.25237871312618,164
2PTT_B,71.8020320046724,112
2Q4M_A,535.156350985392,217
3ACH_A,2.729432175380074,203
1CSK_A,67.7980058703794,71
3H6J_A,110.80620921230002,438
2PTT_A,65.3759588839812,110
2QP2_A,55.454933053787016,511
2DYI_A,25.71670274354782,162
1HCN_B,13.92578543565856,145
1WMX_A,29.733980560967616,205
2FWV_A,15.667801377347107,226
1UWW_A,6.183421383020892,191
4EIS_A,36.03829213489451,225
2AYH_A,35.680930481140756,214
1DAB_A,35.344593645987786,539
1PZS_A,30.397624907219313,208
3CEW_A,147.55893737757805,125
2BOU_A,33.277184376085664,143
4Z2O_A,10.234353912192017,134
1WJX_A,14.033559776478668,122
